R,a,delta,F,R_a,delta_a,F_Eah
3,25,70.55538509,184.0909067,0.12,0.28222154,0.023137899
3,25,71.05706071,182.5198483,0.12,0.284228243,0.022940437
3,25,71.55284283,188.0787593,0.12,0.286211371,0.023639121
3,25,72.0501354,190.5806313,0.12,0.288200542,0.023953575
3,25,72.55019823,190.938044,0.12,0.290200793,0.023998497
3,25,73.04220493,199.4670553,0.12,0.29216882,0.025070486
3,25,73.54681031,197.0382617,0.12,0.294187241,0.024765217
3,25,74.03719166,206.1500229,0.12,0.296148767,0.025910451
3,25,74.54094893,204.1903194,0.12,0.298163796,0.025664141
3,25,75.03575204,209.3408779,0.12,0.300143008,0.026311501
3,25,75.53115408,213.3380055,0.12,0.302124616,0.026813889
3,25,76.03176179,214.4155443,0.12,0.304127047,0.026949322
3,25,76.52389493,222.3647887,0.12,0.30609558,0.027948442
3,25,77.02740124,219.8199413,0.12,0.308109605,0.027628586
3,25,77.5172604,228.8607039,0.12,0.310069042,0.028764896
3,25,78.02166958,227.0071407,0.12,0.312086678,0.028531927
3,25,78.51192091,234.7488036,0.12,0.314047684,0.029504956
3,25,79.01314354,234.9980676,0.12,0.316052574,0.029536285
3,25,79.50806145,240.5273533,0.12,0.318032246,0.030231246
3,25,80.00460598,244.5060625,0.12,0.320018424,0.03073132
3,25,80.5027372,246.006769,0.12,0.322010949,0.03091994
3,25,80.99696279,252.7351879,0.12,0.323987851,0.031765617
3,25,81.49768694,252.4036018,0.12,0.325990748,0.031723941
3,25,81.98918289,260.7172422,0.12,0.327956732,0.03276886
3,25,82.49133751,259.1428775,0.12,0.32996535,0.032570982
3,25,82.98014139,269.3468809,0.12,0.331920566,0.033853496
3,25,83.48481499,266.5015563,0.12,0.33393926,0.033495875
3,25,83.97400463,276.7335175,0.12,0.335896019,0.034781903
3,25,84.4770256,275.0209768,0.12,0.337908102,0.034566659
3,25,84.96872605,284.6841263,0.12,0.339874904,0.035781194
3,25,85.4696556,283.1783038,0.12,0.341878622,0.035591931
3,25,85.96122893,292.1201314,0.12,0.343844916,0.036715806
3,25,86.46435316,291.1306069,0.12,0.345857413,0.036591435
3,25,86.95521165,299.9785409,0.12,0.347820847,0.037703509
3,25,87.45567956,300.5179019,0.12,0.349822718,0.0377713
3,25,87.94942327,307.9204621,0.12,0.351797693,0.038701708
3,25,88.44931708,309.1834237,0.12,0.353797268,0.038860446
3,25,88.94271637,316.5781727,0.12,0.355770866,0.039789872
3,25,89.44303615,317.7203101,0.12,0.357772145,0.039933425
3,25,89.93706918,325.3400054,0.12,0.359748277,0.040891124
3,25,90.43681114,326.5687969,0.12,0.361747245,0.041045568
3,25,90.93147915,334.3333344,0.12,0.363725917,0.042021472
3,25,91.43115294,335.5370582,0.12,0.365724612,0.042172765
3,25,91.92435319,344.0990648,0.12,0.367697413,0.043248901
3,25,92.42522114,344.0233076,0.12,0.369700885,0.043239379
3,25,92.91834571,353.7562441,0.12,0.371673383,0.044462686
3,25,93.41951131,352.4398712,0.12,0.373678045,0.044297234
3,25,93.91211923,363.4792775,0.12,0.375648477,0.045684748
3,25,94.41496963,361.6476308,0.12,0.377659879,0.045454533
3,25,94.90582078,373.3576906,0.12,0.379623283,0.04692634
3,25,95.4083592,371.0627356,0.12,0.381633437,0.046637893
3,25,95.90118945,382.9605967,0.12,0.383604758,0.048133304
3,25,96.40356358,381.3843662,0.12,0.385614254,0.047935191
3,25,96.89493486,391.9105201,0.12,0.387579739,0.049258196
3,25,97.397848,392.063774,0.12,0.389591392,0.049277458
3,25,97.890681,400.9255965,0.12,0.391562724,0.050391277
3,25,98.39083653,403.5436501,0.12,0.393563346,0.050720333
3,25,98.88694324,409.4880867,0.12,0.395547773,0.051467474
3,25,99.38490735,415.3277905,0.12,0.397539629,0.05220145
3,25,99.88302834,418.1965954,0.12,0.399532113,0.052562023
3,25,100.3793388,426.9064087,0.12,0.401517355,0.053656736
3,25,100.8793786,427.632947,0.12,0.403517515,0.053748053
3,25,101.3726556,437.9254258,0.12,0.405490623,0.055041687
3,25,101.8742469,438.2455084,0.12,0.407496988,0.055081918
3,25,102.3689756,447.7690075,0.12,0.409475903,0.056278901
3,25,102.8692424,450.3535603,0.12,0.41147697,0.056603747
3,25,103.3638155,456.9625302,0.12,0.413455262,0.057434411
3,25,103.8634993,462.7729698,0.12,0.415453997,0.058164709
3,25,104.3608434,465.8800339,0.12,0.417443374,0.058555228
3,25,104.8564489,475.6987811,0.12,0.419425796,0.05978932
3,25,105.3572936,476.5198441,0.12,0.421429175,0.059892518
3,25,105.851117,486.5931528,0.12,0.423404468,0.061158605
3,25,106.3530881,488.9921991,0.12,0.425412353,0.061460135
3,25,106.8482461,495.9615485,0.12,0.427392985,0.062336094
3,25,107.3468324,502.3593742,0.12,0.42938733,0.06314022
3,30,2.49090718,0.054473501,0.1,0.008303024,5.70553E-06
3,30,2.985403463,0.462007806,0.1,0.009951345,4.83904E-05
3,30,3.47747184,1.002469534,0.1,0.011591573,0.000104998
3,30,3.964875438,1.536064813,0.1,0.013216251,0.000160887
3,30,4.460653601,2.008622979,0.1,0.014868845,0.000210382
3,30,4.984354098,0.263950409,0.1,0.016614514,2.7646E-05
3,30,5.491698135,-0.12671455,0.1,0.01830566,-1.3272E-05
3,30,5.996342331,-0.235243498,0.1,0.019987808,-2.46393E-05
3,30,6.495511236,0.10956534,0.1,0.021651704,1.14758E-05
3,30,6.979614288,0.715486465,0.1,0.023265381,7.49397E-05
3,30,7.480001558,0.565840572,0.1,0.024933339,5.92658E-05
3,30,7.966964061,1.374797764,0.1,0.026556547,0.000143996
3,30,8.456493661,2.136609088,0.1,0.028188312,0.000223787
3,30,8.93836423,3.160083992,0.1,0.029794547,0.000330985
3,30,9.439998794,3.479735136,0.1,0.031466663,0.000364466
3,30,9.960800805,2.20378572,0.1,0.033202669,0.000230823
3,30,10.47304904,1.089177958,0.1,0.034910163,0.00011408
3,30,10.97492003,0.965409135,0.1,0.036583067,0.000101116
3,30,11.47092474,1.116319459,0.1,0.038236416,0.000116923
3,30,11.96638678,1.555301287,0.1,0.039887956,0.000162901
3,30,12.45269178,2.225692307,0.1,0.041508973,0.000233118
3,30,12.94157718,2.949665209,0.1,0.043138591,0.000308946
3,30,13.42823944,4.036722474,0.1,0.044760798,0.000422804
3,30,13.91238461,5.691872732,0.1,0.046374615,0.000596164
3,30,14.42023176,4.899836934,0.1,0.048067439,0.000513206
3,30,14.94220583,2.877562409,0.1,0.049807353,0.000301394
3,30,15.44905915,2.718112464,0.1,0.051496864,0.000284694
3,30,15.94669963,2.662316473,0.1,0.053155665,0.00027885
3,30,16.44008451,3.075117348,0.1,0.054800282,0.000322086
3,30,16.9310746,3.704838909,0.1,0.056436915,0.000388043
3,30,17.42371755,4.57908076,0.1,0.058079059,0.00047961
3,30,17.89351838,7.195067741,0.1,0.059645061,0.000753608
3,30,18.38546024,8.118407228,0.1,0.061284867,0.000850318
3,30,18.90058275,6.270039051,0.1,0.063001943,0.000656721
3,30,19.42496051,4.9095417,0.1,0.064749868,0.000514223
3,30,19.92410881,4.551912236,0.1,0.066413696,0.000476765
3,30,20.41236443,5.016475712,0.1,0.068041215,0.000525423
